post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Código,attribute_data:Código,attribute:Códigos,attribute_data:Códigos,attribute:Códigos:,attribute_data:Códigos:,attribute:Marca,attribute_data:Marca
"Serie 3800",serie-3800,,1175,,,simple,,"Ventanas > Fijos y proyectantes",,,,,,,,,,
"Serie 42",serie-42,,1176,,,simple,,"Ventanas > Fijos y proyectantes",,,,,,,,,,
"Serie S-38 RPT",serie-s38-rpt,,1177,,,simple,featured,"Ventanas > Fijos y proyectantes",,,,,,,,,,
"Muro Cortina G-50",muro-cortina-g50,,1178,,,simple,,"Fachadas > Muros cortina",,,,,,,,,,
"Puerta abatir Serie 3200",puerta-abatir-3200,,1179,,,simple,,"Puertas > Puertas de abatir",,,,,,,,,,
"Puerta vaivén Serie S-50",puerta-vaiven-s50,,1180,,,simple,featured,"Puertas > Puertas de vaivén",,,,,,,,,,
"Puerta vaivén Serie 4600",puerta-vaiven-4600,,1181,,,simple,,"Puertas > Puertas de vaivén",,,,,,,,,,
"Claroflex Pivot",claroflex-pivot,,1182,,,simple,featured,"Ventanas > Cierres de cristal",,,,,,,,,,
"MultiSlide S-83",multislide-s83,,1183,,,simple,featured,"Ventanas > Cierres de cristal",,,,,,,,,,
"Serie 20",serie-20,,1184,,,simple,,"Ventanas > Ventanas corredera",,,,,,,,,,
"Serie 25",serie-25,,1185,,,simple,,"Ventanas > Ventanas corredera",,,,,,,,,,
"Serie S-33",serie-s33,,1186,,,simple,,"Ventanas > Ventanas corredera",,,,,,,,,,
"Serie 4800",serie-4800,,1187,,,simple,,"Ventanas > Ventanas corredera",,,,,,,,,,
"Serie 5000",serie-5000,,1188,,,simple,,"Ventanas > Ventanas corredera",,,,,,,,,,
"Serie S-33 RPT",serie-s33-rpt,,1189,,,simple,featured,"Ventanas > Ventanas corredera",,,,,,,,,,
Cortasol,cortasol,,1542,,,simple,,"Fachadas > Quiebravistas",,,,,,,,,,
"Soporte lateral baranda de cristal",soporte-lateral-baranda-cristal,,2242,,,simple,,"Accesorios acero inoxidable > Accesorios para barandas",,,BR-127,0|1|0,,,,,,
"Soporte pasamano 2'' a cristal",soporte-pasamano-2-cristal,,2243,,,simple,,"Accesorios acero inoxidable > Accesorios para barandas",,,,,,,,,,
"Serie Óptima S-28",serie-optima-s28,,2329,,,simple,featured,"Ventanas > Ventanas corredera",,,,,,,,,,
